Query,KCC Ans
How do I control woolly aphids in my apple orchard?,"To control woolly aphids in apples, spray Imidacloprid at 400 ml in 200 liters of water. Apply early in the morning and use yellow sticky traps."
How do I control moisture issues in my okra crop?,"To control moisture-related issues in okra, drench with Carbendazim 50 WP at 2 grams per liter of water. Ensure good drainage."
How can I get a loan for my buffaloes?,"To get a loan for buffaloes, contact your nearest agriculture office or nationalized bank for eligibility and application details."
My cow has a fever and red eyes. What should I do?,"For a cow with fever and red eyes, provide fresh water, check dung consistency, and give 3-D Veterinarian Plus (1 tablet morning and evening). Consult a veterinarian."
When's the best time to sow ashwagandha?,Sow ashwagandha in June-July for optimal growth. Use well-drained soil and ensure regular irrigation.
How do I control root rot in my papaya crop?,"To control root rot in papaya, drench with Carbendazim at 1 gram per liter of water. Ensure good drainage and remove affected parts."
How do I control moisture issues in my chili crop?,"To control moisture-related issues in chilies, drench with Carbendazim 50 WP at 2 grams per liter of water. Ensure good drainage."
When's the best time to sow cabbage?,Sow cabbage in September-October for optimal growth. Use well-drained soil and treat seeds with Carbendazim.
How do I control berry issues in my grape crop?,"For berry issues in grapes, spray Ziram at 0.2% (2 grams per liter) in 500 liters of water per acre before harvest. Consult an expert for specifics."
How much fertilizer should I apply to my cauliflower crop?,"For cauliflower, apply 12 kg urea, 6 kg DAP, and 4 kg MOP per kanal. Split applications for better uptake."
How much fertilizer should I apply to my cabbage crop?,"For cabbage, apply 12 kg urea, 6 kg DAP, and 4 kg MOP per kanal. Split applications for better uptake."
When should I prune my apple trees?,Prune and weed apple trees one month after harvesting to shape the canopy and remove dead or diseased branches.
How do I control wasp beetles in my brinjal crop?,"To control wasp beetles in brinjal, spray Spinosad at 0.5 ml per liter of water. Repeat every 10 days and use yellow sticky traps."
How much fertilizer is needed for my chili crop?,"For chilies, apply 55 kg urea, 30 kg DAP, and 20 kg MOP per acre. Split applications and use compost for soil health."
My animal has itchy skin. What should I do?,"For animal skin itch, wet the skin, apply Ichagon, and wash with clean water 2-3 times. Consult a veterinarian for persistent issues."
How can I control rats on my farm?,"To control rats, place 2 aluminum phosphide tablets (0.6 grams each) or 12 tablets (3 grams each) in live burrows and seal with soil. Follow safety guidelines."
How do I control canker in my almond trees?,"To control canker in almonds, clean the affected area with a sharp knife and apply Bordeaux paste. Remove affected branches."
How do I control downy mildew in my bottle gourd?,"To control downy mildew in bottle gourd, spray Ridomil MZ at 2.5 grams per liter of water. Apply every 7-10 days and ensure good drainage."
How do I control leaf spot in my brinjal crop?,"To control leaf spot in brinjal, spray Indofil M-45 at 2 grams per liter of water. Apply every 7-10 days and remove affected leaves."
How do I control root rot in my chili crop?,"To control root rot in chilies, drench with Carbendazim 50 WP at 2 grams per liter of water. Ensure good drainage and remove affected parts."
How should I treat garlic seeds?,Treat garlic seeds with Thiram at 2.5 grams per kg to prevent fungal diseases. Ensure even coating and dry before sowing.
How do I control fruit borers in my capsicum crop?,"To control fruit borers in capsicum, spray Spinosad at 0.5 ml per liter of water. Repeat every 10 days and use pheromone traps."
There are termites in my garden plants. How do I control them?,"To control termites in garden plants, drench with Imidacloprid at 4 ml per liter of water. Add neem cake for long-term control."
What are good cauliflower varieties?,"Top cauliflower varieties include White Vian, Purple Vian, King of the North, Early White Vian, and Early Purple Vian."
Can I use mustard straw for mushroom compost?,"No, only wheat and paddy straw are suitable for mushroom compost. Mustard straw isn't recommended."
When's the best time to sow radish?,Sow radish in September-October or March for optimal growth. Use well-drained soil and treat seeds with Thiram.
How can I control weeds in my cauliflower crop?,"For weed control in cauliflower, hand-weed regularly to avoid competition. Avoid Endosulfan; use Pendimethalin at 1 kg per hectare pre-emergence."
There are worms in my cabbage heads. How do I control them?,"To control worms in cabbage, spray Spinosad at 0.5 ml per liter of water. Apply early in the morning and use yellow sticky traps."
How do I manage fish farming?,"For fish farming, apply 2500 kg of Mahua cake to prepare the pond. Contact your district fisheries office for detailed guidance."
My cabbage is wilting. What's wrong?,"For wilting cabbage, spray Carbendazim at 2 grams per liter of water every 7-10 days. Ensure proper irrigation and check for root rot."
My gerbera flowers aren't looking good. What should I do?,"For gerbera flower issues, dust with Malathion to control pests. Ensure proper irrigation and check for fungal infections."
When's the best time to sow musli?,Sow musli in March-April for optimal growth. Use well-drained soil and ensure regular irrigation.
How do I control pests in my radish crop?,"To control pests in radish, spray Spinosad at 0.5 ml per liter of water. Apply early in the morning and use yellow sticky traps."
How do I control termites in my onion field?,"To control termites in onions, mix 2 liters of Imidacloprid with 25 kg of sand per hectare. Apply as a soil treatment."
How do I control damage in sprouted cauliflower?,"To control damage in sprouted cauliflower, drench with Bavistin at 10 grams and Indofil M-45 at 25 grams in 10 liters of water."
My brinjal has blight disease. What should I do?,"For brinjal blight, spray Copper Oxychloride at 2.5 grams per liter of water with Streptocycline at 0.1 gram per liter. Apply every 7-10 days."
How do I get a crop loan from a bank?,"To get a crop loan, contact a nationalized bank or the marketing and recovery officer in your area for eligibility and application details."
How do I control diseases in my flower nursery?,"To control diseases in your flower nursery, spray Bavistin or Blitox-50 at 2 grams per liter of water three times at 7-day intervals."
How do I control bacterial wilt in my potato crop?,"To control bacterial wilt in potatoes, drench the soil with 100 ppm streptomycin and a mix of 1 gram asafoetida and 5 grams turmeric in 10 liters of water, 3 times at 15-30-45 day intervals after transplanting."
My goat has diarrhea. What should I do?,"For goat diarrhea, consult a veterinarian and administer Neblon Powder at 30 grams twice daily for 5 days."
What should I feed fish in winter?,"In winter, feed fish a mix of 10 kg wheat, 10 kg grains, and 10 kg pulses. Adjust based on fish size and consult a fisheries expert."
My pigeon pea crop has wilt disease. What should I do?,"For wilt in pigeon pea, sow resistant varieties and follow a 3-year crop rotation. Drench with Mancozeb at 2 grams per liter of water."
How should I treat and transplant pea seeds?,Treat pea seeds with Carbendazim 50 WP or Benomyl 50 WP at 2 grams per kg. Transplant at 30 cm between rows and 10 cm between plants.
There are pests in my gladiolus crop. How do I control them?,"To control pests in gladiolus, spray neem oil at 5 ml per liter of water. Apply early in the morning and use yellow sticky traps."
My cow is swollen. What should I do?,"For cow swelling, consult a veterinarian and administer 100 ml Phenyl Liquid at once, repeating after 6 hours."
What fertilizers should I apply to my crop?,"Apply 25 kg urea, 41 kg SSP, 13 kg MOP, and 2 quintals FYM per bigha. Split applications for better uptake."
My buffalo has digestion issues. What should I do?,"For buffalo digestion issues, administer Osto CA at 200 ml in 2 liters of water for 10 days after 3 months. Consult a veterinarian."
Where can I get training on ornamental fish farming?,"For ornamental fish farming training, contact Fisheries College, Pantnagar University, or your District Fisheries Office."
What type of soil is best for betel leaf cultivation?,"For betel leaf cultivation, use rich sandy loam or fertile, humus-rich soil with no waterlogging. Apply lime monthly to maintain soil pH around 6.5."
How should I farm pumpkins?,"For pumpkin farming, use varieties like Arka Sunflower or Arka Chandan. Sow 1 kg seeds per bigha in January-April with 3-meter spacing."
How can I preserve cut flowers for 15 days?,"To preserve cut flowers, mix 2 cups lemon-lime carbonated beverage, 0.5 tsp household chlorine bleach, and 2 cups warm water. Dip stems in this solution, remove leaves below the water line, and trim unnecessary leaves to prevent rot."
